Community,Geo_Latitude,Geo_Longitude,Clinics,Schools,Libraries,Community_halls,Religious_centers,Ward_Number,Ward_Population,Household_type,Education_levels,Youth_NEET_rate,Health_access,Informal_businesses,Income_ranges,Local_industries,Employment_status,Smartphone_usage,Wi-Fi_access,Digital_skills,Online_service_access,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-25.97328883,27.90697559,2,6,7,3,0,Ward 95,46238,Low,59,35,Medium,27,29,2,High,6,High,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-25.95887648,27.92260225,4,8,3,4,1,Ward 113,80532,High,71,71,High,12,4,5,High,6,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-25.98342646,27.91557771,1,5,3,5,1,Ward 95,46238,Low,79,17,High,10,43,6,Medium,6,Low,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-25.96771842,27.90500389,9,4,3,9,6,Ward 113,46238,Low,73,30,Medium,21,79,1,Low,7,Medium,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-25.96164994,27.92560525,4,7,9,8,2,Ward 95,80532,High,80,9,Medium,21,24,2,Low,9,Low,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-25.95629023,27.91629957,7,8,1,0,2,Ward 95,46238,Low,67,1,Low,9,38,2,High,4,Medium,High,Low,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-26.00224672,27.90283553,2,4,4,5,4,Ward 113,46238,High,99,79,High,41,84,4,High,0,Low,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-25.96798391,27.95241607,7,1,1,5,5,Ward 113,46238,Medium,16,89,High,21,35,0,Low,2,Low,Low,High,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-26.00360646,27.90349094,9,1,8,2,9,Ward 113,46238,Medium,21,10,High,16,44,5,High,4,Low,High,High,,,,,,,,,,,,,,,,,,,,,,,,
"Diepsloot, Johannesburg",-25.95382611,27.9667923,4,0,9,2,2,Ward 95,80532,Medium,51,9,High,40,49,2,Medium,3,Low,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,
